City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,chinde,26.8418,88.0763,18.42,29,59,2.54,NP,1713742482
281,el colomo,19.05,-104.25,24.99,66,31,3.38,MX,1713742482
282,hanceville,34.0607,-86.7675,16.61,62,25,4.43,US,1713742484
283,lorengau,-2.0226,147.2712,29.82,66,55,3.22,PG,1713742484
284,greymouth,-42.4667,171.2,13.26,79,70,4.56,NZ,1713742484
285,alaghsas,17.0187,8.0168,30.42,19,46,2.99,NE,1713742484
286,san antonio de pale,-1.4014,5.6325,28.96,80,72,2.36,GQ,1713742485
287,bijar,35.8668,47.6051,7.44,75,80,1.35,IR,1713742485
288,el granada,37.5027,-122.4694,29.89,74,0,8.75,US,1713742485
289,ad dilam,23.9915,47.1627,27.23,12,0,3.59,SA,1713742485
290,esperanza,19.5847,-70.9849,27.32,75,26,1.79,DO,1713742486
291,aldan,58.6031,125.3894,1.37,73,88,3.9,RU,1713742486
292,namsos,64.4662,11.4957,2.03,47,2,3.09,NO,1713742486
293,bengkulu,-3.8004,102.2655,25.3,90,97,1.37,ID,1713742486
294,kidal,18.4411,1.4078,31.4,8,2,4.15,ML,1713742191
295,shimokizukuri,40.8061,140.3861,14.73,69,100,2.54,JP,1713742489
296,lagos,6.5833,3.75,25.18,92,91,1.21,NG,1713742204
297,alausi,-2.2,-78.8333,10.62,98,100,1.08,EC,1713742489
298,nagqu,31.5,92.0,-0.65,42,87,1.49,CN,1713742489
299,awjilah,29.1081,21.2869,24.86,21,100,5.94,LY,1713742491
300,divnomorskoye,44.5011,38.1353,12.88,94,2,2.36,RU,1713742491
301,anna regina,7.2644,-58.5077,26.32,74,100,4.1,GY,1713742492
302,idabel,33.8957,-94.8263,18.79,36,14,6.17,US,1713742492
303,keetmanshoop,-26.5833,18.1333,23.51,28,9,0.51,NA,1713742493
304,alofi,-19.0595,-169.9187,29.94,62,40,4.63,NU,1713742434
305,chibougamau,49.9168,-74.3659,-8.21,62,100,4.63,CA,1713742372
306,shenjiamen,29.9576,122.298,14.19,97,100,2.2,CN,1713742493
307,khandyga,62.6667,135.6,1.53,95,100,0.82,RU,1713742377
308,stjordalshalsen,63.4681,10.9262,1.62,59,6,4.12,NO,1713742494
309,nar'yan-mar,67.6713,53.087,-23.83,100,51,2.24,RU,1713742294
310,luderitz,-26.6481,15.1594,17.57,69,30,2.69,NA,1713742494
311,bodaybo,57.8506,114.1933,2.91,96,100,1.17,RU,1713742495
312,nuuk,64.1835,-51.7216,2.34,93,100,13.38,GL,1713742435
313,susuman,62.7833,148.1667,-9.45,88,93,0.89,RU,1713742337
314,de panne,51.0792,2.5917,7.23,85,20,2.57,BE,1713742495
315,howrah,22.5892,88.3103,31.0,74,40,2.06,IN,1713742495
316,el hadjira,32.6134,5.5126,17.38,43,57,6.56,DZ,1713742496
